"year","industry_branch_code","industry_branch_name","average_salary","average_salary_all_industries","category_code","category_name","average_price"
2006,J,Informační a komunikační činnosti,31447.22,18958.23,"115101",Máslo,104.39
2006,J,Informační a komunikační činnosti,31447.22,18958.23,"115201",Rostlinný roztíratelný tuk,69.45
2006,J,Informační a komunikační činnosti,31447.22,18958.23,"116101",Pomeranče,24.73
2006,J,Informační a komunikační činnosti,31447.22,18958.23,"116103",Banány žluté,27.31
2006,J,Informační a komunikační činnosti,31447.22,18958.23,"116104",Jablka konzumní,30.71
2006,J,Informační a komunikační činnosti,31447.22,18958.23,"117101",Rajská jablka červená kulatá,57.83
2006,J,Informační a komunikační činnosti,31447.22,18958.23,"117103",Papriky,35.31
2006,J,Informační a komunikační činnosti,31447.22,18958.23,"117106",Mrkev,14.41
2006,J,Informační a komunikační činnosti,31447.22,18958.23,"117401",Konzumní brambory,12.08
2006,J,Informační a komunikační činnosti,31447.22,18958.23,"118101",Cukr krystalový,21.73
2006,J,Informační a komunikační činnosti,31447.22,18958.23,"122102",Přírodní minerální voda uhličitá,7.69
2006,J,Informační a komunikační činnosti,31447.22,18958.23,"213201","Pivo výčepní, světlé, lahvové",8.45
2006,J,Informační a komunikační činnosti,31447.22,18958.23,"2000001",Kapr živý,69.35
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"111101",Rýže loupaná dlouhozrnná,21.29
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"111201",Pšeničná mouka hladká,7.41
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"111301",Chléb konzumní kmínový,16.12
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"111303",Pečivo pšeničné bílé,38.60
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"111602",Těstoviny vaječné,26.10
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"112101",Hovězí maso zadní bez kosti,166.34
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"112201",Vepřová pečeně s kostí,105.18
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"112401",Kuřata kuchaná celá,47.47
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"112704",Šunkový salám,116.77
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"114201",Mléko polotučné pasterované,14.44
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"114401",Jogurt bílý netučný,5.83
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"114501",Eidamská cihla,110.95
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"114701",Vejce slepičí čerstvá,23.49
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"115101",Máslo,104.39
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"115201",Rostlinný roztíratelný tuk,69.45
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"116101",Pomeranče,24.73
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"116103",Banány žluté,27.31
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"116104",Jablka konzumní,30.71
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"117101",Rajská jablka červená kulatá,57.83
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"117103",Papriky,35.31
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"117106",Mrkev,14.41
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"117401",Konzumní brambory,12.08
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"118101",Cukr krystalový,21.73
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"122102",Přírodní minerální voda uhličitá,7.69
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"213201","Pivo výčepní, světlé, lahvové",8.45
2006,K,Peněžnictví a pojišťovnictví,39690.13,18958.23,"2000001",Kapr živý,69.35
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"111101",Rýže loupaná dlouhozrnná,21.29
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"111201",Pšeničná mouka hladká,7.41
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"111301",Chléb konzumní kmínový,16.12
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"111303",Pečivo pšeničné bílé,38.60
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"111602",Těstoviny vaječné,26.10
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"112101",Hovězí maso zadní bez kosti,166.34
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"112201",Vepřová pečeně s kostí,105.18
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"112401",Kuřata kuchaná celá,47.47
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"112704",Šunkový salám,116.77
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"114201",Mléko polotučné pasterované,14.44
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"114401",Jogurt bílý netučný,5.83
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"114501",Eidamská cihla,110.95
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"114701",Vejce slepičí čerstvá,23.49
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"115101",Máslo,104.39
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"115201",Rostlinný roztíratelný tuk,69.45
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"116101",Pomeranče,24.73
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"116103",Banány žluté,27.31
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"116104",Jablka konzumní,30.71
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"117101",Rajská jablka červená kulatá,57.83
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"117103",Papriky,35.31
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"117106",Mrkev,14.41
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"117401",Konzumní brambory,12.08
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"118101",Cukr krystalový,21.73
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"122102",Přírodní minerální voda uhličitá,7.69
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"213201","Pivo výčepní, světlé, lahvové",8.45
2006,L,Činnosti v oblasti nemovitostí,16357.22,18958.23,"2000001",Kapr živý,69.35
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"111101",Rýže loupaná dlouhozrnná,21.29
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"111201",Pšeničná mouka hladká,7.41
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"111301",Chléb konzumní kmínový,16.12
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"111303",Pečivo pšeničné bílé,38.60
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"111602",Těstoviny vaječné,26.10
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"112101",Hovězí maso zadní bez kosti,166.34
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"112201",Vepřová pečeně s kostí,105.18
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"112401",Kuřata kuchaná celá,47.47
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"112704",Šunkový salám,116.77
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"114201",Mléko polotučné pasterované,14.44
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"114401",Jogurt bílý netučný,5.83
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"114501",Eidamská cihla,110.95
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"114701",Vejce slepičí čerstvá,23.49
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"115101",Máslo,104.39
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"115201",Rostlinný roztíratelný tuk,69.45
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"116101",Pomeranče,24.73
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"116103",Banány žluté,27.31
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"116104",Jablka konzumní,30.71
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"117101",Rajská jablka červená kulatá,57.83
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"117103",Papriky,35.31
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"117106",Mrkev,14.41
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"117401",Konzumní brambory,12.08
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"118101",Cukr krystalový,21.73
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"122102",Přírodní minerální voda uhličitá,7.69
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"213201","Pivo výčepní, světlé, lahvové",8.45
2006,M,"Profesní, vědecké a technické činnosti",23875.38,18958.23,"2000001",Kapr živý,69.35
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"111101",Rýže loupaná dlouhozrnná,21.29
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"111201",Pšeničná mouka hladká,7.41
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"111301",Chléb konzumní kmínový,16.12
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"111303",Pečivo pšeničné bílé,38.60
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"111602",Těstoviny vaječné,26.10
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"112101",Hovězí maso zadní bez kosti,166.34
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"112201",Vepřová pečeně s kostí,105.18
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"112401",Kuřata kuchaná celá,47.47
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"112704",Šunkový salám,116.77
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"114201",Mléko polotučné pasterované,14.44
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"114401",Jogurt bílý netučný,5.83
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"114501",Eidamská cihla,110.95
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"114701",Vejce slepičí čerstvá,23.49
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"115101",Máslo,104.39
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"115201",Rostlinný roztíratelný tuk,69.45
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"116101",Pomeranče,24.73
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"116103",Banány žluté,27.31
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"116104",Jablka konzumní,30.71
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"117101",Rajská jablka červená kulatá,57.83
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"117103",Papriky,35.31
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"117106",Mrkev,14.41
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"117401",Konzumní brambory,12.08
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"118101",Cukr krystalový,21.73
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"122102",Přírodní minerální voda uhličitá,7.69
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"213201","Pivo výčepní, světlé, lahvové",8.45
2006,N,Administrativní a podpůrné činnosti,11171.40,18958.23,"2000001",Kapr živý,69.35
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"111101",Rýže loupaná dlouhozrnná,21.29
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"111201",Pšeničná mouka hladká,7.41
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"111301",Chléb konzumní kmínový,16.12
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"111303",Pečivo pšeničné bílé,38.60
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"111602",Těstoviny vaječné,26.10
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"112101",Hovězí maso zadní bez kosti,166.34
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"112201",Vepřová pečeně s kostí,105.18
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"112401",Kuřata kuchaná celá,47.47
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"112704",Šunkový salám,116.77
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"114201",Mléko polotučné pasterované,14.44
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"114401",Jogurt bílý netučný,5.83
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"114501",Eidamská cihla,110.95
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"114701",Vejce slepičí čerstvá,23.49
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"115101",Máslo,104.39
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"115201",Rostlinný roztíratelný tuk,69.45
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"116101",Pomeranče,24.73
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"116103",Banány žluté,27.31
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"116104",Jablka konzumní,30.71
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"117101",Rajská jablka červená kulatá,57.83
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"117103",Papriky,35.31
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"117106",Mrkev,14.41
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"117401",Konzumní brambory,12.08
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"118101",Cukr krystalový,21.73
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"122102",Přírodní minerální voda uhličitá,7.69
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"213201","Pivo výčepní, světlé, lahvové",8.45
2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,20539.11,18958.23,"2000001",Kapr živý,69.35
2006,P,Vzdělávání,17023.00,18958.23,"111101",Rýže loupaná dlouhozrnná,21.29
2006,P,Vzdělávání,17023.00,18958.23,"111201",Pšeničná mouka hladká,7.41
2006,P,Vzdělávání,17023.00,18958.23,"111301",Chléb konzumní kmínový,16.12
2006,P,Vzdělávání,17023.00,18958.23,"111303",Pečivo pšeničné bílé,38.60
2006,P,Vzdělávání,17023.00,18958.23,"111602",Těstoviny vaječné,26.10
2006,P,Vzdělávání,17023.00,18958.23,"112101",Hovězí maso zadní bez kosti,166.34
2006,P,Vzdělávání,17023.00,18958.23,"112201",Vepřová pečeně s kostí,105.18
2006,P,Vzdělávání,17023.00,18958.23,"112401",Kuřata kuchaná celá,47.47
2006,P,Vzdělávání,17023.00,18958.23,"112704",Šunkový salám,116.77
2006,P,Vzdělávání,17023.00,18958.23,"114201",Mléko polotučné pasterované,14.44
2006,P,Vzdělávání,17023.00,18958.23,"114401",Jogurt bílý netučný,5.83
2006,P,Vzdělávání,17023.00,18958.23,"114501",Eidamská cihla,110.95
2006,P,Vzdělávání,17023.00,18958.23,"114701",Vejce slepičí čerstvá,23.49
2006,P,Vzdělávání,17023.00,18958.23,"115101",Máslo,104.39
2006,P,Vzdělávání,17023.00,18958.23,"115201",Rostlinný roztíratelný tuk,69.45
2006,P,Vzdělávání,17023.00,18958.23,"116101",Pomeranče,24.73
2006,P,Vzdělávání,17023.00,18958.23,"116103",Banány žluté,27.31
2006,P,Vzdělávání,17023.00,18958.23,"116104",Jablka konzumní,30.71
2006,P,Vzdělávání,17023.00,18958.23,"117101",Rajská jablka červená kulatá,57.83
2006,P,Vzdělávání,17023.00,18958.23,"117103",Papriky,35.31
2006,P,Vzdělávání,17023.00,18958.23,"117106",Mrkev,14.41
2006,P,Vzdělávání,17023.00,18958.23,"117401",Konzumní brambory,12.08
2006,P,Vzdělávání,17023.00,18958.23,"118101",Cukr krystalový,21.73
2006,P,Vzdělávání,17023.00,18958.23,"122102",Přírodní minerální voda uhličitá,7.69
2006,P,Vzdělávání,17023.00,18958.23,"213201","Pivo výčepní, světlé, lahvové",8.45
2006,P,Vzdělávání,17023.00,18958.23,"2000001",Kapr živý,69.35
2006,Q,Zdravotní a sociální péče,14857.80,18958.23,"111101",Rýže loupaná dlouhozrnná,21.29
2006,Q,Zdravotní a sociální péče,14857.80,18958.23,"111201",Pšeničná mouka hladká,7.41
2006,Q,Zdravotní a sociální péče,14857.80,18958.23,"111301",Chléb konzumní kmínový,16.12
2006,Q,Zdravotní a sociální péče,14857.80,18958.23,"111303",Pečivo pšeničné bílé,38.60
